(-0.09150749999999996,0.3169850000000001),blue
(-0.32027625,0.07924625000000002),red
(-0.22876874999999997,-0.23773875000000005),green
(0.09150749999999996,-0.3169850000000001),orange
(0.32027625,-0.07924625000000002),black
(0.22876874999999997,0.23773875000000005),purple
(0.17972375000000002,0.57924625),blue
(-0.41178374999999995,0.4452762499999999),red
(-0.5915075,-0.13397000000000003),green
(-0.17972375000000002,-0.57924625),orange
(0.41178374999999995,-0.4452762499999999),black
(0.5915075,0.13397000000000003),purple
(0.0,-0.125),blue
(0.10825375,-0.0625),red
(0.10825375,0.0625),green
(0.0,0.125),orange
(-0.10825375,0.0625),black
(-0.10825375,-0.0625),purple
(0.60825375,0.4375),blue
(-0.07476124999999999,0.7455149999999999),red
(-0.6830149999999999,0.308015),green
(-0.60825375,-0.4375),orange
(0.07476124999999999,-0.7455149999999999),black
(0.6830149999999999,-0.308015),purple
(0.10825375,0.4375),blue
(-0.32476125,0.3125),red
(-0.433015,-0.125),green
(-0.10825375,-0.4375),orange
(0.32476125,-0.3125),black
(0.433015,0.125),purple
(0.17523875,0.8125),blue
(-0.61603,0.5580149999999999),red
(-0.79126875,-0.254485),green
(-0.17523875,-0.8125),orange
(0.61603,-0.5580149999999999),black
(0.79126875,0.254485),purple
(-0.14174625000000002,0.1875),blue
(-0.23325374999999998,-0.02900749999999999),red
(-0.09150749999999999,-0.21650749999999996),green
(0.14174625000000002,-0.1875),orange
(0.23325374999999998,0.02900749999999999),black
(0.09150749999999999,0.21650749999999996),purple
(0.26674625,0.47099250000000004),blue
(-0.2745225,0.46650749999999996),red
(-0.54126875,-0.004485000000000017),green
(-0.26674625,-0.47099250000000004),orange
(0.2745225,-0.46650749999999996),black
(0.54126875,0.004485000000000017),purple
(-0.23325374999999998,0.47099250000000004),blue
(-0.5245225,0.033492500000000036),red
(-0.29126874999999997,-0.4375),green
(0.23325374999999998,-0.47099250000000004),orange
(0.5245225,-0.033492500000000036),black
(0.29126874999999997,0.4375),purple
(-0.024522499999999975,0.5334925),blue
(-0.47428374999999995,0.24551499999999993),red
(-0.44976124999999995,-0.2879775),green
(0.024522499999999975,-0.5334925),orange
(0.47428374999999995,-0.24551499999999993),black
(0.44976124999999995,0.2879775),purple
(-0.14174625000000002,-0.0625),blue
(-0.016746250000000004,-0.1540075),red
(0.125,-0.09150749999999999),green
(0.14174625000000002,0.0625),orange
(0.016746250000000004,0.1540075),black
(-0.125,0.09150749999999999),purple
(0.48325375,0.34599250000000004),blue
(-0.05801499999999998,0.5915075),red
(-0.54126875,0.24551499999999998),green
(-0.48325375,-0.34599250000000004),orange
(0.05801499999999998,-0.5915075),black
(0.54126875,-0.24551499999999998),purple
(-0.016746250000000004,0.34599250000000004),blue
(-0.308015,0.1584925),red
(-0.29126874999999997,-0.1875),green
(0.016746250000000004,-0.34599250000000004),orange
(0.308015,-0.1584925),black
(0.29126874999999997,0.1875),purple
(0.19198500000000002,0.6584925),blue
(-0.47428374999999995,0.4955149999999999),red
(-0.66626875,-0.16297750000000003),green
(-0.19198500000000002,-0.6584925),orange
(0.47428374999999995,-0.4955149999999999),black
(0.66626875,0.16297750000000003),purple
(-0.26674625,0.09599250000000001),blue
(-0.21650749999999996,-0.18301499999999998),red
(0.05023875000000001,-0.27900749999999996),green
(0.26674625,-0.09599250000000001),orange
(0.21650749999999996,0.18301499999999998),black
(-0.05023875000000001,0.27900749999999996),purple
(0.28349250000000004,0.3169850000000001),blue
(-0.13277624999999998,0.40400749999999996),red
(-0.4162687499999999,0.08702249999999997),green
(-0.28349250000000004,-0.3169850000000001),orange
(0.13277624999999998,-0.40400749999999996),black
(0.4162687499999999,-0.08702249999999997),purple
(-0.21650749999999996,0.3169850000000001),blue
(-0.38277625,-0.029007499999999964),red
(-0.16626874999999997,-0.34599250000000004),green
(0.21650749999999996,-0.3169850000000001),orange
(0.38277625,0.029007499999999964),black
(0.16626874999999997,0.34599250000000004),purple
(0.11722375000000003,0.47099250000000004),blue
(-0.34928374999999995,0.3370224999999999),red
(-0.46650749999999996,-0.13397000000000003),green
(-0.11722375000000003,-0.47099250000000004),orange
(0.34928374999999995,-0.3370224999999999),black
(0.46650749999999996,0.13397000000000003),purple
(-0.016746250000000004,-0.1875),blue
(0.1540075,-0.10825374999999998),red
(0.17075374999999998,0.07924625),green
(0.016746250000000004,0.1875),orange
(-0.1540075,0.10825374999999998),black
(-0.17075374999999998,-0.07924625),purple
(0.6540075000000001,0.39174625),blue
(-0.012261250000000001,0.7622612499999999),red
(-0.66626875,0.370515),green
(-0.6540075000000001,-0.39174625),orange
(0.012261250000000001,-0.7622612499999999),black
(0.66626875,-0.370515),purple
(0.1540075,0.39174625),blue
(-0.26226125,0.32924625),red
(-0.41626874999999997,-0.0625),green
(-0.1540075,-0.39174625),orange
(0.26226125,-0.32924625),black
(0.41626874999999997,0.0625),purple
(0.23773875,0.82924625),blue
(-0.59928375,0.6205149999999999),red
(-0.8370225,-0.20873125000000003),green
(-0.23773875,-0.82924625),orange
(0.59928375,-0.6205149999999999),black
(0.8370225,0.20873125000000003),purple
(-0.09599250000000002,0.14174625000000002),blue
(-0.17075374999999998,-0.012261250000000001),red
(-0.07476124999999999,-0.15400749999999996),green
(0.09599250000000002,-0.14174625000000002),orange
(0.17075374999999998,0.012261250000000001),black
(0.07476124999999999,0.15400749999999996),purple
(0.32924625,0.48773875000000005),blue
(-0.25777625,0.5290075),red
(-0.5870224999999999,0.041268749999999965),green
(-0.32924625,-0.48773875000000005),orange
(0.25777625,-0.5290075),black
(0.5870224999999999,-0.041268749999999965),purple
(-0.17075374999999998,0.48773875000000005),blue
(-0.50777625,0.09599250000000004),red
(-0.33702249999999995,-0.39174625),green
(0.17075374999999998,-0.48773875000000005),orange
(0.50777625,-0.09599250000000004),black
(0.33702249999999995,0.39174625),purple
(-0.007776249999999971,0.5959925),blue
