(0.08537687499999999,0.522876875)
(-0.41013812499999996,0.335376875)
(-0.495515,-0.1875)
(-0.08537687499999999,-0.522876875)
(0.41013812499999996,-0.335376875)
(0.495515,0.1875)
(0.08986187500000001,0.835376875)
(-0.67853,0.4955149999999999)
(-0.768391875,-0.33986187500000004)
(-0.08986187500000001,-0.835376875)
(0.67853,-0.4955149999999999)
(0.768391875,0.33986187500000004)
(-0.164623125,0.272876875)
(-0.31863062499999995,-0.006130625000000001)
(-0.1540075,-0.27900749999999996)
(0.164623125,-0.272876875)
(0.31863062499999995,0.006130625000000001)
(0.1540075,0.27900749999999996)
(0.18136937500000003,0.49386937500000005)
(-0.3370225,0.40400749999999996)
(-0.518391875,-0.08986187500000001)
(-0.18136937500000003,-0.49386937500000005)
(0.3370225,-0.40400749999999996)
(0.518391875,0.08986187500000001)
(-0.31863062499999995,0.49386937500000005)
(-0.5870225,-0.029007499999999964)
(-0.26839187499999995,-0.522876875)
(0.31863062499999995,-0.49386937500000005)
(0.5870225,0.029007499999999964)
(0.26839187499999995,0.522876875)
(-0.08702249999999997,0.47099250000000004)
(-0.451406875,0.16013812499999994)
(-0.364384375,-0.310854375)
(0.08702249999999997,-0.47099250000000004)
(0.451406875,-0.16013812499999994)
(0.364384375,0.310854375)
(-0.164623125,0.022876874999999998)
(-0.10212312500000001,-0.131130625)
(0.0625,-0.1540075)
(0.164623125,-0.022876874999999998)
(0.10212312500000001,0.131130625)
(-0.0625,0.1540075)
(0.397876875,0.36886937500000005)
(-0.12051499999999998,0.5290075)
(-0.518391875,0.160138125)
(-0.397876875,-0.36886937500000005)
(0.12051499999999998,-0.5290075)
(0.518391875,-0.160138125)
(-0.10212312500000001,0.36886937500000005)
(-0.370515,0.09599250000000001)
(-0.26839187499999995,-0.272876875)
(0.10212312500000001,-0.36886937500000005)
(0.370515,-0.09599250000000001)
(0.26839187499999995,0.272876875)
(0.12948500000000002,0.5959925)
(-0.451406875,0.4101381249999999)
(-0.580891875,-0.18585437500000002)
(-0.12948500000000002,-0.5959925)
(0.451406875,-0.4101381249999999)
(0.580891875,0.18585437500000002)
(-0.352123125,0.118869375)
(-0.27900749999999996,-0.24551499999999998)
(0.07311562500000002,-0.364384375)
(0.352123125,-0.118869375)
(0.27900749999999996,0.24551499999999998)
(-0.07311562500000002,0.364384375)
(0.22099250000000004,0.2544850000000001)
(-0.109899375,0.31863062499999995)
(-0.33089187499999995,0.06414562499999998)
(-0.22099250000000004,-0.2544850000000001)
(0.109899375,-0.31863062499999995)
(0.33089187499999995,-0.06414562499999998)
(-0.27900749999999996,0.2544850000000001)
(-0.359899375,-0.11438437499999995)
(-0.08089187499999997,-0.36886937500000005)
(0.27900749999999996,-0.2544850000000001)
(0.359899375,0.11438437499999995)
(0.08089187499999997,0.36886937500000005)
(0.14010062500000003,0.385615625)
(-0.263906875,0.3141456249999999)
(-0.40400749999999996,-0.07147000000000003)
(-0.14010062500000003,-0.385615625)
(0.263906875,-0.3141456249999999)
(0.40400749999999996,0.07147000000000003)
(-0.03962312500000001,-0.10212312500000001)
(0.068630625,-0.08537687499999999)
(0.10825374999999998,0.016746250000000004)
(0.03962312500000001,0.10212312500000001)
(-0.068630625,0.08537687499999999)
(-0.10825374999999998,-0.016746250000000004)
(0.5686306250000001,0.414623125)
(-0.07476125,0.6997612499999999)
(-0.643391875,0.28513812499999996)
(-0.5686306250000001,-0.414623125)
(0.07476125,-0.6997612499999999)
(0.643391875,-0.28513812499999996)
(0.068630625,0.414623125)
(-0.32476125,0.26674625)
(-0.39339187499999995,-0.147876875)
(-0.068630625,-0.414623125)
(0.32476125,-0.26674625)
(0.39339187499999995,0.147876875)
(0.17523875,0.76674625)
(-0.576406875,0.5351381249999999)
(-0.751645625,-0.23160812500000003)
